iter	Passed	Remaining
1389	2218	5762
1390	2220	5761
1391	2222	5760
1392	2225	5762
1393	2227	5762
1394	2229	5761
1395	2231	5760
1396	2234	5762
1397	2236	5762
1398	2239	5765
1399	2243	5769
1400	2245	5769
1401	2247	5768
1402	2249	5767
1403	2251	5766
1404	2253	5765
1405	2255	5764
1406	2257	5763
1407	2259	5764
1408	2261	5762
1409	2262	5761
1410	2264	5760
1411	2266	5759
1412	2268	5759
1413	2271	5761
1414	2274	5763
1415	2276	5762
1416	2279	5763
1417	2281	5762
1418	2283	5761
1419	2284	5760
1420	2286	5759
1421	2288	5758
1422	2290	5758
1423	2292	5757
1424	2294	5756
1425	2296	5755
1426	2298	5754
1427	2300	5753
1428	2301	5752
1429	2303	5750
1430	2305	5749
1431	2307	5748
1432	2309	5748
1433	2311	5748
1434	2313	5747
1435	2315	5746
1436	2316	5744
1437	2318	5742
1438	2320	5742
1439	2322	5741
1440	2324	5740
1441	2326	5739
1442	2328	5738
1443	2329	5737
1444	2331	5735
1445	2333	5734
1446	2335	5733
1447	2336	5731
1448	2338	5731
1449	2340	5730
1450	2342	5728
1451	2343	5727
1452	2345	5725
1453	2347	5724
1454	2349	5723
1455	2350	5722
1456	2352	5721
1457	2354	5720
1458	2356	5719
1459	2358	5718
1460	2360	5717
1461	2362	5717
1462	2364	5716
1463	2366	5714
1464	2368	5714
1465	2370	5713
1466	2371	5712
1467	2373	5711
1468	2375	5709
1469	2377	5709
1470	2379	5707
1471	2380	5706
1472	2382	5705
1473	2384	5704
1474	2386	5702
1475	2387	5701
1476	2389	5699
1477	2391	5697
1478	2392	5696
1479	2394	5695
1480	2396	5693
1481	2397	5691
1482	2399	5690
1483	2401	5689
1484	2404	5690
1485	2405	5689
1486	2407	5687
1487	2409	5686
1488	2411	5685
1489	2412	5684
1490	2414	5682
1491	2415	5680
1492	2417	5678
1493	2419	5676
1494	2420	5674
1495	2422	5673
1496	2423	5671
1497	2425	5670
1498	2427	5669
1499	2429	5668
1500	2430	5666
1501	2432	5666
1502	2434	5664
1503	2436	5663
1504	2438	5662
1505	2440	5661
1506	2442	5660
1507	2443	5659
1508	2445	5657
1509	2447	5656
1510	2448	5654
1511	2450	5652
1512	2452	5652
1513	2454	5651
1514	2455	5649
1515	2457	5648
1516	2459	5647
1517	2461	5647
1518	2463	5645
1519	2465	5645
1520	2468	5645
1521	2469	5644
1522	2471	5642
1523	2474	5643
1524	2476	5643
1525	2478	5642
1526	2480	5642
1527	2482	5641
1528	2484	5640
1529	2486	5639
1530	2489	5639
1531	2491	5640
1532	2495	5644
1533	2497	5643
1534	2499	5643
1535	2502	5644
1536	2505	5645
1537	2508	5645
1538	2510	5645
1539	2512	5644
1540	2514	5644
1541	2517	5644
1542	2519	5645
1543	2522	5645
1544	2524	5644
1545	2526	5644
1546	2528	5644
1547	2530	5642
1548	2531	5640
1549	2533	5639
1550	2535	5638
1551	2537	5637
1552	2539	5636
1553	2541	5634
1554	2542	5633
1555	2545	5633
1556	2546	5631
1557	2548	5629
1558	2549	5627
1559	2551	5626
1560	2553	5625
1561	2554	5623
1562	2556	5621
1563	2557	5619
1564	2559	5618
1565	2561	5617
1566	2563	5615
1567	2564	5613
1568	2566	5612
1569	2568	5611
1570	2570	5609
1571	2571	5607
1572	2573	5606
1573	2574	5604
1574	2576	5603
1575	2578	5602
1576	2580	5600
1577	2581	5598
1578	2583	5596
1579	2584	5595
1580	2586	5593
1581	2588	5592
1582	2589	5590
1583	2591	5588
1584	2593	5587
1585	2596	5588
1586	2597	5587
1587	2599	5585
1588	2601	5585
1589	2603	5584
1590	2606	5583
1591	2607	5582
1592	2609	5581
1593	2611	5579
1594	2613	5578
1595	2615	5577
1596	2617	5576
1597	2619	5575
1598	2621	5575
1599	2624	5576
1600	2628	5580
1601	2631	5582
1602	2633	5580
1603	2635	5580
1604	2641	5587
1605	2653	5608
1606	2658	5613
1607	2667	5626
1608	2672	5632
1609	2677	5637
1610	2680	5639
1611	2683	5640
1612	2687	5642
1613	2691	5647
1614	2694	5647
1615	2696	5646
1616	2699	5646
1617	2701	5646
1618	2703	5645
1619	2705	5644
1620	2709	5647
1621	2712	5648
1622	2714	5648
1623	2717	5650
1624	2721	5651
1625	2724	5654
1626	2726	5652
1627	2728	5651
1628	2731	5651
1629	2734	5653
1630	2737	5655
1631	2740	5655
1632	2743	5655
1633	2745	5654
1634	2747	5653
1635	2749	5652
1636	2751	5652
1637	2755	5654
1638	2757	5655
1639	2760	5655
1640	2762	5654
1641	2764	5652
1642	2765	5651
1643	2767	5649
1644	2769	5648
1645	2771	5647
1646	2774	5647
1647	2777	5648
1648	2779	5649
1649	2782	5650
1650	2786	5652
1651	2788	5652
1652	2791	5651
1653	2793	5650
1654	2795	5650
1655	2797	5649
1656	2799	5648
1657	2801	5647
1658	2804	5647
1659	2806	5646
1660	2807	5644
1661	2809	5643
1662	2811	5642
1663	2813	5640
1664	2816	5641
1665	2819	5642
1666	2822	5642
1667	2824	5641
1668	2826	5640
1669	2828	5639
1670	2830	5639
1671	2832	5638
1672	2835	5639
1673	2838	5639
1674	2841	5641
1675	2844	5641
1676	2849	5646
1677	2853	5649
1678	2855	5648
1679	2858	5648
1680	2860	5648
1681	2863	5647
1682	2865	5647
1683	2867	5647
1684	2869	5645
1685	2871	5643
1686	2872	5641
1687	2874	5639
1688	2875	5637
1689	2877	5635
1690	2878	5633
1691	2880	5631
1692	2882	5630
1693	2884	5628
1694	2886	5627
1695	2888	5626
1696	2889	5624
1697	2891	5623
1698	2894	5623
1699	2896	5622
1700	2898	5620
1701	2901	5622
1702	2904	5623
1703	2906	5621
1704	2908	5621
1705	2911	5622
1706	2914	5622
1707	2917	5623
1708	2920	5624
1709	2925	5628
1710	2928	5628
1711	2931	5629
1712	2933	5628
1713	2935	5628
1714	2937	5627
1715	2939	5626
1716	2941	5624
1717	2943	5622
1718	2945	5621
1719	2947	5620
1720	2949	5619
1721	2951	5617
1722	2952	5615
1723	2954	5614
1724	2956	5613
1725	2958	5611
1726	2959	5609
1727	2961	5606
